dId,len,elen,url
"265","143","6","27007952"
"266","169","6","27004887"
"267","10","0","27005055"
"268","141","17","27000525"
"269","166","8","27003658"
"270","3","0","27024441"
"271","163","32","27106737"
"272","104","7","27106541"
"273","147","10","27106273"
"274","139","7","27106050"
"275","136","17","27030598"
"276","120","22","27040985"
"277","77","0","27135537"
"278","8","1","27136604"
"279","151","4","27105018"
"280","148","15","27042423"
"281","84","12","27061843"
"282","87","9","27027065"
"283","156","23","27106045"
"284","109","1","27105856"
"285","171","42","27105172"
"286","6","3","27103693"
"287","52","2","27086786"
"288","153","0","27094442"
"289","138","0","27055658"
"290","209","3","27082742"
"291","136","2","27045096"
"292","178","27","27081787"
"293","156","32","27040154"
"294","168","22","27096721"
"295","170","47","27079867"
"296","183","28","27102275"
"297","183","5","27072837"
"298","205","21","27012476"
"299","6","1","27013209"
"300","137","1","27015103"
"301","75","0","27002492"
"302","170","17","27011745"
"303","111","22","27090360"
"304","140","1","27028074"
"305","201","0","27026120"
"306","117","7","27048165"
"307","126","16","27009370"
"308","152","14","27091339"
"309","89","0","27064930"
"310","176","3","27082965"
"311","172","12","27014794"
"312","203","44","27015205"
"313","4","2","27024518"
"314","85","8","27163711"
"315","162","11","27163364"
"316","11","3","27063103"
"317","299","23","27163732"
"318","270","59","27163986"
"319","1","0","27095374"
"320","141","1","27097052"
"321","134","1","27069801"
"322","167","6","27077497"
"323","151","12","27083907"
"324","4","0","27097260"
"325","80","22","27112161"
"326","173","36","27032075"
"327","7","0","27000520"
"328","7","0","27003017"
"329","9","0","27008150"
"330","101","0","27000640"
"331","5","0","27024587"
"332","177","26","27080243"
"333","136","20","27059958"
"334","132","14","27164908"
"335","101","12","27168003"
"336","140","20","27035219"
"337","114","6","27034854"
"338","159","9","27167532"
"339","139","9","27166858"
"340","50","13","27114046"
"341","92","11","27066173"
"342","106","11","27066379"
"343","130","20","27052432"
"344","159","28","27035124"
"345","155","24","27027935"
"346","7","1","27025007"
"347","82","3","27025502"
"348","124","23","27026059"
"349","6","1","27023969"
"350","122","8","27008176"
"351","2","1","27000442"
"352","130","1","27004589"
"353","2","0","27003543"
"354","208","27","27133205"
"355","123","18","27135638"
"356","147","7","27087039"
"357","133","7","27146696"
"358","157","11","27096365"
"359","197","29","27146390"
"360","119","24","27128169"
"361","108","12","27091426"
"362","4","0","27127917"
"363","165","10","27127339"
"364","63","6","27114661"
"365","144","36","27118869"
"366","223","12","27113736"
"367","8","0","27097922"
"368","126","14","27052033"
"369","110","22","27020780"
"370","135","19","27066791"
"371","155","18","27087174"
"372","5","1","27084191"
"373","114","6","27106426"
"374","100","5","27060093"
"375","217","0","27084995"
"376","153","1","27042398"
"377","191","27","27100959"
"378","153","8","27125412"
"379","123","9","27060870"
"380","3","2","27024125"
"381","132","0","27004883"
"382","87","16","27001600"
"383","83","10","27020399"
"384","155","28","27020415"
"385","122","12","27166369"
"386","94","12","27044113"
"387","117","0","27077211"
"388","3","0","27015299"
"389","154","22","27038469"
"390","129","18","27000118"
"391","95","2","27007645"
"392","115","5","27127597"
"393","81","6","27128180"
"394","139","8","27127029"
"395","209","46","27103021"
"396","13","6","27051783"
"397","153","30","27084997"
"398","169","22","27096778"
"399","132","23","27085653"
"400","53","10","27032431"
"401","133","9","27032218"
"402","115","4","27166322"
"403","101","7","27167775"
"404","119","27","27052512"
"405","356","48","27023695"
"406","177","44","27103204"
"407","117","13","27102784"
"408","154","16","27102292"
"409","83","10","27102147"
"410","116","1","27027515"
"411","56","11","27029303"
"412","198","15","27038556"
"413","68","12","27121104"
"414","168","13","27031708"
"415","176","14","27149380"
"416","71","2","27148837"
"417","92","16","27149682"
"418","140","21","27147545"
"419","7","2","27101783"
"420","131","2","27101409"
"421","138","5","27101001"
"422","137","9","27101315"
"423","147","4","27099871"
"424","120","8","27037861"
"425","82","18","27076731"
"426","104","11","27060911"
"427","121","12","27027614"
"428","56","0","27049669"
"429","93","4","27044475"
"430","6","1","27067284"
"431","127","15","27065818"
"432","200","11","27165303"
"433","132","15","27165869"
"434","127","3","27081355"
"435","85","5","27076622"
"436","107","25","27042949"
"437","145","15","27026968"
"438","11","2","27024222"
"439","98","3","27021854"
"440","171","3","27087212"
"441","5","1","27166219"
"442","121","5","27166679"
"443","2","0","27027268"
"444","109","3","27165321"
"445","7","0","27024208"
"446","62","3","27097227"
"447","154","8","27091989"
"448","9","1","27056653"
"449","137","3","27101019"
"450","2","0","27027788"
"451","175","16","27002673"
"452","36","8","27001556"
"453","134","6","27002477"
"454","7","1","27005222"
"455","129","13","27166854"
"456","145","4","27143517"
"457","95","12","27157542"
"458","198","1","27050044"
"459","172","0","27079138"
"460","147","36","27025610"
"461","159","8","27054089"
"462","138","11","27083391"
"463","172","17","27036951"
"464","57","3","27001389"
"465","94","0","27005956"
"466","172","10","27010279"
"467","145","15","27000956"
"468","156","0","27008646"
"469","4","1","27002581"
"470","4","1","27006060"
"471","145","25","27123983"
"472","13","2","27124578"
"473","71","17","27122451"
"474","11","1","27124859"
"475","18","2","27024310"
"476","117","14","27056731"
"477","10","1","27100043"
"478","126","7","27037883"
"479","99","13","27009454"
"480","140","9","27012283"
"481","200","6","27013805"
"482","137","2","27012281"
"483","218","36","27014300"
"484","154","17","27168846"
"485","200","21","27036889"
"486","176","15","27086940"
"487","134","6","27037206"
"488","149","9","27031942"
"489","163","13","27018990"
"490","130","8","27051626"
"491","145","30","27023326"
"492","8","1","27157212"
"493","195","17","27156564"
"494","1","0","27012701"
"495","157","23","27013928"
"496","97","5","27081468"
"497","64","0","27051871"
"498","141","1","27103332"
